City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Tahta,EG,26.7693,31.5021,47.66,77,5,3.15,clear sky
284,Mezen,RU,65.8522,44.24,1.65,98,100,4.38,overcast clouds
285,Syamzha,RU,60.0158,41.0614,16.83,95,100,7.07,overcast clouds
286,Leshukonskoye,RU,64.8989,45.7622,-3.06,99,100,3.36,overcast clouds
287,Aguadilla,PR,18.4275,-67.1541,75.65,88,35,1.01,scattered clouds
288,Vanimo,PG,-2.6741,141.3028,81.54,71,96,8.88,overcast clouds
289,Bengkulu,ID,-3.8004,102.2655,83.48,67,88,5.39,overcast clouds
290,Smithers,CA,54.7804,-127.1743,15.44,98,92,2.08,overcast clouds
291,Husavik,IS,66.0449,-17.3389,22.91,91,100,19.06,light snow
292,Iguape,BR,-24.7081,-47.5553,72.41,94,100,5.68,overcast clouds
293,Mackay,AU,-21.15,149.2,95.68,69,73,7.36,broken clouds
294,Yelabuga,RU,55.7613,52.0649,27.95,95,100,15.9,light snow
295,Podebrady,CZ,50.1424,15.1188,35.49,100,91,9.71,overcast clouds
296,Yulara,AU,-25.2406,130.9889,71.44,100,100,13.8,moderate rain
297,Mayo,US,38.8876,-76.5119,31.12,73,0,1.99,clear sky
298,Uyemskiy,RU,64.4743,40.8524,17.65,86,75,6.71,light snow
299,Trairi,BR,-3.2778,-39.2689,77.76,79,73,7.25,broken clouds
300,Lasa,IT,46.6166,10.7002,30.69,95,100,7.74,light snow
301,Beloha,MG,-25.1667,45.05,69.42,84,84,8.79,broken clouds
302,Chemax,MX,20.65,-87.9333,63.9,80,17,5.06,few clouds
303,Balabac,PH,7.9868,117.0645,83.41,74,76,15.35,broken clouds
304,San Patricio,US,28.017,-97.5169,62.82,91,99,10.04,overcast clouds
305,Dharchula,IN,29.85,80.5333,48.58,44,50,2.46,scattered clouds
306,Impfondo,CG,1.6381,18.0667,68.25,28,72,2.01,broken clouds
307,Florianopolis,BR,-27.6146,-48.5012,74.37,95,40,3.44,scattered clouds
308,Garowe,SO,8.4054,48.4845,66.81,92,44,10.16,scattered clouds
309,Deva,RO,45.8833,22.9,28.4,93,100,1.41,overcast clouds
310,Northam,GB,51.0333,-4.2167,49.6,85,80,19.6,broken clouds
311,Ueckermunde,DE,53.7379,14.0447,34.05,90,99,9.82,overcast clouds
312,Mareeba,AU,-17.0,145.4333,86.43,77,68,4.74,broken clouds
313,Alofi,NU,-19.0595,-169.9187,79.25,68,94,5.84,overcast clouds
314,Pathein,MM,16.7833,94.7333,77.04,47,80,8.34,broken clouds
315,Athabasca,CA,54.7169,-113.2854,-4.18,94,62,6.67,broken clouds
316,Itaituba,BR,-4.2761,-55.9836,72.36,98,54,1.61,broken clouds
317,Geraldton,AU,-28.7667,114.6,88.21,33,7,16.11,clear sky
318,Bonthe,SL,7.5264,-12.505,75.6,93,64,5.03,broken clouds
319,Minsk,BY,53.9,27.5667,24.55,92,99,12.15,overcast clouds
320,Dingle,PH,10.9995,122.6711,83.25,73,90,13.58,overcast clouds
321,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,82,40,18.52,scattered clouds
322,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,47,35.68,scattered clouds
323,Meulaboh,ID,4.1363,96.1285,82.29,74,5,2.73,clear sky
324,Naantali,FI,60.4674,22.0243,12.85,85,20,4.61,few clouds
325,Santo Domingo,DO,18.5001,-69.9886,74.03,87,40,7.0,scattered clouds
326,Deputatskiy,RU,69.3,139.9,-15.88,98,100,2.37,overcast clouds
327,Chama,CH,47.1821,8.4636,37.22,82,100,6.91,overcast clouds
328,Zuenoula,CI,7.4292,-6.0431,67.35,22,11,1.95,few clouds
329,Warrington,GB,53.3925,-2.5802,48.85,93,100,8.99,overcast clouds
330,Yumen,CN,40.2833,97.2,18.43,26,73,3.98,broken clouds
331,Vao,NC,-22.6667,167.4833,78.17,83,98,9.66,overcast clouds
332,Anadyr,RU,64.75,177.4833,19.9,68,100,13.42,overcast clouds
333,Salamanca,ES,40.8333,-6.0,34.0,92,0,8.7,clear sky
334,Maromitsa,RU,59.8683,48.0123,16.66,95,100,8.34,snow
335,Nemuro,JP,43.3236,145.575,27.03,62,71,20.27,broken clouds
336,Carnarvon,AU,-24.8667,113.6333,87.87,58,12,20.71,few clouds
337,Awjilah,LY,29.1081,21.2869,51.12,67,3,10.04,clear sky
338,Kaseda,JP,31.4167,130.3167,54.63,60,81,15.77,broken clouds
339,Hasaki,JP,35.7333,140.8333,48.6,37,100,1.21,overcast clouds
340,Babushkin,RU,51.7122,105.8647,9.12,90,97,3.62,overcast clouds
341,Lukoyanov,RU,55.0277,44.4786,30.24,96,100,17.6,light snow
342,Pangnirtung,CA,66.1451,-65.7125,-29.99,94,97,4.41,overcast clouds
